"","y2_statefips","y2_countyfips","n2","Year"
"940","20","107",602,2005
"941","20","109",139,2005
"942","20","111",1452,2005
"943","20","113",1306,2005
"944","20","115",554,2005
"945","20","117",428,2005
"946","20","119",255,2005
"947","20","121",1964,2005
"948","20","123",252,2005
"949","20","125",1501,2005
"950","20","127",317,2005
"951","20","129",201,2005
"952","20","131",359,2005
"953","20","133",738,2005
"954","20","135",106,2005
"955","20","137",249,2005
"956","20","139",979,2005
"957","20","141",171,2005
"958","20","143",347,2005
"959","20","145",361,2005
"960","20","147",192,2005
"961","20","149",1256,2005
"962","20","151",508,2005
"963","20","153",67,2005
"964","20","155",2279,2005
"965","20","157",226,2005
"966","20","159",459,2005
"967","20","161",4950,2005
"968","20","163",222,2005
"969","20","165",168,2005
"970","20","167",309,2005
"971","20","169",2389,2005
"972","20","171",276,2005
"973","20","173",15560,2005
"974","20","175",1119,2005
"975","20","177",6333,2005
"976","20","179",121,2005
"977","20","181",308,2005
"978","20","183",155,2005
"979","20","185",197,2005
"980","20","187",70,2005
"981","20","189",266,2005
"982","20","191",1139,2005
"983","20","193",411,2005
"984","20","195",118,2005
"985","20","197",429,2005
"986","20","199",80,2005
"987","20","201",214,2005
"988","20","203",137,2005
"989","20","205",506,2005
"990","20","207",182,2005
"991","20","209",7401,2005
"992","21","001",596,2005
"993","21","003",805,2005
"994","21","005",1177,2005
"995","21","007",380,2005
"996","21","009",1792,2005
"997","21","011",539,2005
"998","21","013",964,2005
"999","21","015",10026,2005
"1000","21","017",1046,2005
"1001","21","019",1981,2005
"1002","21","021",1532,2005
"1003","21","023",440,2005
"1004","21","025",382,2005
"1005","21","027",977,2005
"1006","21","029",4638,2005
"1007","21","031",446,2005
"1008","21","033",556,2005
"1009","21","035",1611,2005
"1010","21","037",4330,2005
"1011","21","039",243,2005
"1012","21","041",736,2005
"1013","21","043",878,2005
"1014","21","045",558,2005
"1015","21","047",10161,2005
"1016","21","049",1924,2005
"1017","21","051",471,2005
"1018","21","053",297,2005
"1019","21","055",325,2005
"1020","21","057",214,2005
"1021","21","059",2796,2005
"1022","21","061",557,2005
"1023","21","063",197,2005
"1024","21","065",451,2005
"1025","21","067",13273,2005
"1026","21","069",556,2005
"1027","21","071",1030,2005
"1028","21","073",1969,2005
"1029","21","075",376,2005
"1030","21","077",557,2005
"1031","21","079",1186,2005
"1032","21","081",1867,2005
"1033","21","083",1401,2005
"1034","21","085",896,2005
"1035","21","087",417,2005
"1036","21","089",1591,2005
"1037","21","091",484,2005
"1038","21","093",8284,2005
"1039","21","095",710,2005
"1040","21","097",770,2005
"1041","21","099",824,2005
"1042","21","101",1681,2005
"1043","21","103",890,2005
"1044","21","105",207,2005
"1045","21","107",1532,2005
"1046","21","109",366,2005
"1047","21","111",22054,2005
"1048","21","113",3491,2005
"1049","21","115",836,2005
"1050","21","117",9506,2005
"1051","21","119",466,2005
"1052","21","121",1145,2005
"1053","21","123",838,2005
"1054","21","125",2337,2005
"1055","21","127",669,2005
"1056","21","129",193,2005
"1057","21","131",288,2005
"1058","21","133",457,2005
"1059","21","135",436,2005
"1060","21","137",1248,2005
"1061","21","139",602,2005
"1062","21","141",1061,2005
"1063","21","143",434,2005
"1064","21","145",3020,2005
"1065","21","147",445,2005
"1066","21","149",420,2005
"1067","21","151",4255,2005
"1068","21","153",264,2005
"1069","21","155",591,2005
"1070","21","157",1581,2005
"1071","21","159",287,2005
"1072","21","161",886,2005
"1073","21","163",2989,2005
"1074","21","165",341,2005
"1075","21","167",975,2005
"1076","21","169",498,2005
"1077","21","171",348,2005
